TIME,fapar_itpl,fapar_spl,gpp_mod,gpp_obs
20130408,0.264999999999896,0.278725125831256,1.75130701065063,0.680289
20130409,0.26,0.277001782853575,1.90068352222443,0.876098
20130410,0.262499999999948,0.274839903072258,1.8118052482605,0.797173
20130411,0.265000000000104,0.272510224777722,1.70665776729584,0.672443
20130412,0.267500000000052,0.270283486260982,1.44090139865875,0.387275
20130413,0.27,0.268430425812458,0.643291711807251,0.465809
20130414,0.272499999999948,0.267160931309879,1.06449675559998,0.800525
20130415,0.274999999999896,0.266441488979458,1.45434391498566,0.753937
20130416,0.277499999999844,0.266177734634532,0.856287121772766,0.65729
20130417,0.28,0.266275304088453,0.237667173147202,NA
20130418,0.2775,0.266639833154535,1.34492981433868,NA
20130419,0.275,0.267176957646106,0.966878235340118,NA
20130420,0.2725,0.2677923133765,0.995256841182709,0.776913
20130421,0.27,0.268391536159053,1.25987458229065,1.04831
20130422,0.265000000000104,0.268895202413636,1.2865252494812,1.44331
20130423,0.259999999999793,0.269283650986299,1.4814327955246,1.50925
20130424,0.254999999999896,0.26955216132954,1.59316956996918,1.44049
20130425,0.25,0.269696012895957,0.767809391021729,0.824972
20130426,0.257499999999844,0.26971048513811,1.42334568500519,0.683419
20130427,0.264999999999689,0.26959085750856,1.50472021102905,0.912307
20130428,0.272500000000156,0.269332409459842,1.32099151611328,1.33668
20130429,0.28,0.268930420444559,1.1230651140213,1.35629
20130430,0.2775,0.268404329012291,1.23508131504059,1.44852
20130501,0.275,0.267870210100771,1.22824573516846,0.761894
20130502,0.2725,0.267468297744768,0.992017388343811,0.479864
20130503,0.27,0.26733882597905,1.40951406955719,1.2705
20130504,0.271538461538557,0.267622028838428,1.53041410446167,1.24399
20130505,0.273076923076987,0.268458140357633,1.54122614860535,1.06874
20130506,0.274615384615417,0.269987394571439,1.30717599391937,0.678682
20130507,0.276153846153846,0.272350025514612,1.05394971370697,0.453768
20130508,0.274615384615417,0.275610083654352,0.544373452663422,0.526197
20130509,0.273076923076987,0.279526885187585,1.89056396484375,0.566111
20130510,0.27153846153843,0.283783562744024,1.88030195236206,1.12014
20130511,0.27,0.288063248952299,1.78693759441376,1.11214
20130512,0.2825,0.292049076442108,1.84813702106476,1.07584
20130513,0.295,0.295424177842808,0.974768042564392,1.17801
20130514,0.3075,0.297871685783756,0.733879923820496,0.800603
20130515,0.32,0.299074732894308,1.83773803710938,1.07826
20130516,0.309999999999378,0.298809884904072,1.85852360725403,0.537827
20130517,0.299999999999585,0.297227439944127,1.83620774745941,0.433427
