TIME,fapar_itpl,fapar_spl,gpp_mod,gpp_obs
20100101,0.883755126452516,0.856492875026086,10.7945642471313,NA
20100102,0.859,0.864750200525843,11.6475028991699,NA
20100103,0.88,0.872415232512869,10.6029071807861,NA
20100104,0.882500000000156,0.878865126547482,14.5982437133789,NA
20100105,0.885000000000104,0.884054056237454,14.9038162231445,NA
20100106,0.887500000000052,0.887936195192216,13.5671825408936,NA
20100107,0.89,0.890465717020615,14.1118993759155,NA
20100108,0.887500000000052,0.891641673054958,14.7428417205811,NA
20100109,0.885000000000104,0.891642625521408,15.220814704895,NA
20100110,0.882499999999948,0.890692014369476,14.6168231964111,NA
20100111,0.88,0.88901327954896,12.5837316513062,NA
20100112,0.8825,0.886829861009442,7.19570827484131,NA
20100113,0.885,0.884365198700545,10.3599281311035,NA
20100114,0.8875,0.881842732571895,11.5580291748047,NA
20100115,0.89,0.879485902573116,12.8757810592651,NA
20100116,0.887499999999844,0.87751814865369,12.4659585952759,NA
20100117,0.884999999999896,0.876162910763585,9.26769542694092,NA
20100118,0.882499999999948,0.875643628852241,6.92038106918335,NA
20100119,0.88,0.876183742869285,10.8490896224976,NA
20100120,0.882499999999948,0.877922528184178,11.4234552383423,NA
20100121,0.885000000000104,0.880662601846001,11.8265066146851,NA
20100122,0.887500000000052,0.88412241632294,9.36119937896729,NA
20100123,0.89,0.888020424083841,10.2349252700806,10.8748
20100124,0.887500000000052,0.892075077597365,11.5404634475708,12.3208
20100125,0.885000000000104,0.89600482933217,11.8088493347168,NA
20100126,0.882500000000156,0.899528131756914,11.0695943832397,NA
20100127,0.88,0.902363437340455,10.6922521591187,NA
20100128,0.885,0.904229198550962,10.8045387268066,8.56921
20100129,0.89,0.904843867857361,9.68604564666748,9.73599
20100130,0.895,0.903925897728311,12.0574941635132,NA
20100131,0.9,0.90119374063247,8.88672924041748,8.24191
20100201,0.897500000000052,0.896499089630278,10.56383228302,NA
20100202,0.894999999999896,0.89022660014873,10.8055057525635,9.2528
20100203,0.892499999999948,0.882894168208247,12.2858896255493,8.45011
20100204,0.89,0.875019689827715,1.94963502883911,4.21417
20100205,0.892499999999948,0.86712106102648,5.08266448974609,8.51057
20100206,0.894999999999896,0.859716177823888,10.9042835235596,11.7734
20100207,0.897499999999844,0.853322936239286,11.5865039825439,8.7647
20100208,0.9,0.848459232291694,10.9045286178589,7.61106
20100209,0.865,0.845515134311731,8.89142036437988,6.4504
20100210,0.83,0.844369399870414,7.72246265411377,5.9314
20100211,0.795,0.844772958849664,5.82892608642578,5.37018
20100212,0.76,0.846476741131401,5.51185464859009,6.34688
20100213,0.792500000002023,0.849231676597812,6.34533977508545,8.14681
20100214,0.825000000001349,0.852788695130342,10.7903175354004,10.6307
20100215,0.857500000000674,0.856898726611101,7.42619943618774,7.4658
20100216,0.89,0.86131270092201,12.7310962677002,11.9461
20100217,0.887500000000052,0.865781547944988,12.2277450561523,10.9953
20100218,0.885000000000104,0.870056197561956,12.3600816726685,9.80485
20100219,0.882499999999948,0.873887579655129,12.3276376724243,7.03635
20100220,0.88,0.877026624105773,10.0501413345337,6.97314
20100221,0.8825,0.879285352922432,11.0507698059082,6.98543
20100222,0.885,0.880720156618446,10.1225614547729,8.11651
20100223,0.8875,0.881448517833437,9.69722938537598,9.12843
20100224,0.89,0.881587919207028,11.1682291030884,10.027
20100225,0.887499999999844,0.881255843378797,11.4436893463135,8.34381
20100226,0.884999999999896,0.88056977298843,10.353048324585,6.31491
20100227,0.882499999999948,0.87964719067554,3.43095636367798,4.49836
20100228,0.88,0.878605579079751,8.94298839569092,9.79513
20100301,0.878035714285755,0.877562420840683,7.78153848648071,7.75255
20100302,0.876071428571347,0.876635198597892,10.4913969039917,10.1645
20100303,0.874107142857102,0.875941394991162,11.4699201583862,6.28709
20100304,0.872142857142857,0.875598492660032,7.74775171279907,4.80929
20100305,0.870940476190501,0.875692911104716,2.36903262138367,NA
20100306,0.869738095238145,0.876186817267801,4.33131885528564,NA
20100307,0.868535714285789,0.877011314952461,4.1668119430542,3.66103
20100308,0.867333333333333,0.878097507961973,3.24151229858398,4.69796
20100309,0.873,0.879376500099328,5.22761201858521,5.91667
20100310,0.878666666666667,0.880779395167783,5.89130640029907,7.05073
20100311,0.884333333333333,0.882237296970515,11.1622791290283,9.65795
20100312,0.89,0.883681309310701,11.7247400283813,9.39423
20100313,0.89,0.885053916976539,12.4705581665039,9.19418
20100314,0.89,0.886343128696419,12.0863027572632,NA
20100315,0.89,0.887548334183436,11.952184677124,NA
20100316,0.89,0.888668923151009,12.2654495239258,NA
20100317,0.892499999999948,0.889704285312447,10.4995012283325,8.52125
20100318,0.894999999999896,0.890653810381058,7.04675579071045,6.99821
20100319,0.897500000000052,0.891516888070219,9.42641639709473,7.36237
20100320,0.9,0.892292908093095,11.0354528427124,NA
20100321,0.895,0.89298126016307,8.21909332275391,NA
20100322,0.89,0.893581333993454,10.6740064620972,9.11624
20100323,0.885,0.894092519297553,10.2664880752563,9.07565
20100324,0.88,0.894514205788678,10.4267024993896,9.1283
20100325,0.885000000000311,0.894844828739973,11.1822509765625,8.36075
20100326,0.890000000000208,0.895079005663759,7.99603796005249,7.22734
20100327,0.895000000000104,0.895210399632257,6.03663492202759,NA
20100328,0.9,0.895232673717656,3.05827260017395,NA
20100329,0.9,0.895139490992144,5.27510595321655,NA
20100330,0.9,0.894924514527911,8.05414581298828,8.06897
20100331,0.9,0.894581407397111,9.86530590057373,9.09652
20100401,0.9,0.894103832671991,10.4739389419556,8.17663
